Conference,Nickname,Code
American Athletic Conference,The American,1
Atlantic Coast Conference,ACC,2
Big Ten Conference,Big Ten,3
Big 12 Conference,Big 12,4
Conference USA,C-USA,5
Division I FBS Independents,Ind.,6
Mid-American Conference,MAC,7
Mountain West Conference,MW,8
Pac-12 Conference,Pac-12,9
Southeastern Conference,SEC,10
Sun Belt Conference,Sun Belt,11
Big Sky Conference,Big Sky,12
Big South Conference,Big South,13
Colonial Athletic Association,CAA,14
Division I FCS Independents,,15
Ivy League,Ivy League,16
Mid-Eastern Athletic Conference,MEAC,17
Missouri Valley Football Conference,MVFC,18
Northeast Conference,NEC,19
Ohio Valley Conference,OVC,20
Patriot League,Patriot,21
Pioneer Football League,PFL,22
Southern Conference,SoCon,23
Southland Conference,Southland,24
Southwestern Athletic Conference,SWAC,25
Little Ivies,,26
